IDDOMAIN,siteID,acceptedTaxonID,sexOrAge,sample_year,mean_density
7,ORNL,DERVAR,Nymph,All Years,0.001176470588235294
7,ORNL,IXOSCA,Nymph,All Years,0.013880571558782107
7,ORNL,IXOSP,Nymph,All Years,0.0012345679012345679
3,OSBS,AMBAME,Adult,All Years,0.059821552059743086
3,OSBS,AMBMAC,Adult,All Years,0.003543586109142452
3,OSBS,DERVAR,Adult,All Years,0.005876431277126315
3,OSBS,IXOSCA,Adult,All Years,0.006129202223121385
3,OSBS,IXOSP,Adult,All Years,0.003096642817301294
3,OSBS,AMBAME,Larva,All Years,0.00125
3,OSBS,IXOSP,Larva,All Years,0.8547527506071353
3,OSBS,AMBAME,Nymph,All Years,0.14091961875214493
3,OSBS,IXOSP,Nymph,All Years,0.06970921431921188
2,SCBI,AMBAME,Adult,All Years,0.02289618298716178
2,SCBI,DERVAR,Adult,All Years,0.024224844530467145
2,SCBI,IXOSCA,Adult,All Years,0.013213080968450147
2,SCBI,IXOSP,Larva,All Years,0.5707095465249952
2,SCBI,AMBAME,Nymph,All Years,0.03403736517704423
2,SCBI,DERVAR,Nymph,All Years,0.0013333333333333335
2,SCBI,IXOSCA,Nymph,All Years,0.0429466559989352
2,SERC,AMBAME,Adult,All Years,0.021600604959684907
2,SERC,DERVAR,Adult,All Years,0.010742380790233118
2,SERC,IXOSCA,Adult,All Years,0.014155577508079243
2,SERC,IXOSP,Larva,All Years,1.1369384673375345
2,SERC,AMBAME,Nymph,All Years,0.05815429271401461
2,SERC,IXOSCA,Nymph,All Years,0.04263674628426307
17,SOAP,IXOPAC,Adult,All Years,0.005762589126559714
5,STEI,DERVAR,Adult,All Years,0.009498740689793393
5,STEI,IXOSCA,Adult,All Years,0.006277767013472995
5,STEI,IXOSP,Larva,All Years,0.014351456242257931
5,STEI,IXOSCA,Nymph,All Years,0.007200800027430341
8,TALL,AMBAME,Adult,All Years,0.027792114001407492
8,TALL,AMBMAC,Adult,All Years,0.001379310344827586
8,TALL,DERVAR,Adult,All Years,0.013965433282116338
8,TALL,IXOSCA,Adult,All Years,0.01
8,TALL,IXOSP,Larva,All Years,1.0929436592394193
8,TALL,AMBAME,Nymph,All Years,0.07585431754876627
8,TALL,IXOSCA,Nymph,All Years,0.0037044525004647708
8,TALL,IXOSP,Nymph,All Years,0.0075
5,TREE,DERVAR,Adult,All Years,0.020829891827256433
5,TREE,IXOSCA,Adult,All Years,0.016313658265420763
5,TREE,IXOSP,Larva,All Years,0.2538361146049827
5,TREE,DERVAR,Nymph,All Years,0.0013071895424836603
5,TREE,IXOSCA,Nymph,All Years,0.04941399374651147
6,UKFS,AMBAME,Adult,All Years,0.050900692010576655
6,UKFS,AMBMAC,Adult,All Years,0.004892857142857143
6,UKFS,DERVAR,Adult,All Years,0.015216665959313019
6,UKFS,IXOSCA,Adult,All Years,0.00125
6,UKFS,IXOSP,Adult,All Years,0.0052710835849872194
6,UKFS,AMBAME,Larva,All Years,0.0012235803412274002
6,UKFS,IXOSP,Larva,All Years,3.2184485837853147
6,UKFS,AMBAME,Nymph,All Years,0.09762617021342822
6,UKFS,DERVAR,Nymph,All Years,0.00125
6,UKFS,IXOSCA,Nymph,All Years,0.00125
6,UKFS,IXOSP,Nymph,All Years,0.03520233720274553
5,UNDE,DERVAR,Adult,All Years,0.01196574707972004
5,UNDE,IXOSP,Larva,All Years,0.007916666666666666
5,UNDE,IXOSCA,Nymph,All Years,0.0012441284123837122
9,WOOD,DERVAR,Adult,All Years,0.04641141971967616
1,BART,DERVAR,Adult,2014,0.00625
1,HARV,IXOSCA,Larva,2014,0.00611156748204941
1,HARV,IXOSP,Larva,2014,0.023121387283236993
1,HARV,DERVAR,Adult,2014,0.006172839506172839
1,HARV,IXOSCA,Adult,2014,0.007821842310310438
1,HARV,DERVAR,Nymph,2014,0.012121212121212121
1,HARV,IXOSCA,Nymph,2014,0.022511424398483196
7,ORNL,AMBAME,Adult,2014,0.00892857142857143
7,ORNL,DERVAR,Adult,2014,0.00615530303030303
7,ORNL,AMBAME,Adult,2014,0.00625
7,ORNL,AMBAME,Nymph,2014,0.15033349802371543
7,ORNL,IXOSCA,Nymph,2014,0.011580086580086581
3,OSBS,AMBAME,Adult,2014,0.016144418519176577
3,OSBS,DERVAR,Adult,2014,0.00625
3,OSBS,IXOSCA,Adult,2014,0.006172839506172839
3,OSBS,AMBAME,Adult,2014,0.013175103364537573
3,OSBS,IXOSCA,Adult,2014,0.00621141975308642
3,OSBS,AMBAME,Nymph,2014,0.08791528117043504
2,SCBI,AMBAME,Adult,2014,0.029585798816568046
2,SCBI,AMBAME,Adult,2014,0.005705545160236419
2,SCBI,DERVAR,Adult,2014,0.009323793490460157
2,SCBI,IXOSCA,Adult,2014,0.006211656441717792
2,SCBI,IXOSP,Larva,2014,0.028478526420277196
2,SCBI,AMBAME,Adult,2014,0.0060517279051364725
2,SCBI,DERVAR,Adult,2014,0.007215281558095929
2,SCBI,IXOSCA,Adult,2014,0.00799515690581813
2,SCBI,AMBAME,Nymph,2014,0.029786853833673656
2,SCBI,DERVAR,Nymph,2014,0.006666666666666667
2,SCBI,IXOSCA,Nymph,2014,0.06371213532813583
8,TALL,AMBAME,Adult,2014,0.016666666666666666
8,TALL,DERVAR,Adult,2014,0.00625
8,TALL,IXOSCA,Adult,2014,0.00625
8,TALL,IXOSP,Larva,2014,0.7875
8,TALL,AMBAME,Adult,2014,0.013125
8,TALL,DERVAR,Adult,2014,0.00625
8,TALL,AMBAME,Nymph,2014,0.13020833333333334
5,UNDE,DERVAR,Adult,2014,0.005783886771910724
5,UNDE,DERVAR,Adult,2014,0.005780346820809248
9,WOOD,DERVAR,Adult,2014,0.020985019882078706
9,WOOD,DERVAR,Adult,2014,0.017749303863557258
1,BART,DERVAR,Nymph,2015,0.006060606060606061
2,BLAN,IXOSCA,Adult,2015,0.007689156671576325
2,BLAN,IXOSP,Larva,2015,0.009240324168749526
2,BLAN,IXOSP,Larva,2015,1.4664818241768867
2,BLAN,AMBAME,Adult,2015,0.006137048192771085
2,BLAN,IXOSCA,Adult,2015,0.00814255075066088
2,BLAN,AMBAME,Nymph,2015,0.008674242424242425
2,BLAN,IXOSCA,Nymph,2015,0.05494486407751775
8,DELA,DERVAR,Adult,2015,0.005952380952380952
8,DELA,AMBAME,Nymph,2015,0.008528285896298319
3,DSNY,AMBMAC,Adult,2015,0.0125
3,DSNY,DERVAR,Adult,2015,0.006097560975609756
3,DSNY,AMBMAC,Adult,2015,0.00625
1,HARV,IXOSCA,Adult,2015,0.006044417767106843
1,HARV,IXOSP,Larva,2015,0.008025103980986334
1,HARV,IXOSP,Larva,2015,0.30578797553600356
1,HARV,IXOSCA,Adult,2015,0.009828058140434089
1,HARV,IXOSCA,Nymph,2015,0.016812629936080587
6,KONZ,AMBAME,Adult,2015,0.00625
6,KONZ,AMBAME,Larva,2015,0.00625
6,KONZ,AMBAME,Adult,2015,0.0125
6,KONZ,AMBAME,Nymph,2015,0.013541666666666667
7,ORNL,AMBAME,Adult,2015,0.010355392156862745
7,ORNL,IXOSCA,Adult,2015,0.012504072987943956
7,ORNL,IXOSP,Larva,2015,0.00625
7,ORNL,IXOSP,Larva,2015,0.36657726844226673
7,ORNL,AMBAME,Adult,2015,0.009375
7,ORNL,IXOSCA,Adult,2015,0.008274275008145976
7,ORNL,AMBAME,Nymph,2015,0.05437125905515673
7,ORNL,DERVAR,Nymph,2015,0.0058823529411764705
7,ORNL,IXOSCA,Nymph,2015,0.010633116883116883
3,OSBS,AMBAME,Adult,2015,0.01744084658114194
3,OSBS,AMBAME,Larva,2015,0.00625
3,OSBS,IXOSP,Larva,2015,0.8595565815473476
3,OSBS,AMBAME,Adult,2015,0.01860096535289925
3,OSBS,AMBAME,Nymph,2015,0.12496117783696897
3,OSBS,IXOSP,Nymph,2015,0.02851609779714355
3,OSBS,IXOSP,Nymph,2015,0.015978872169022648
2,SCBI,AMBAME,Adult,2015,0.006188149923424517
2,SCBI,DERVAR,Adult,2015,0.015392630962932053
2,SCBI,IXOSCA,Adult,2015,0.006588340816528736
2,SCBI,IXOSP,Larva,2015,0.3375
2,SCBI,IXOSP,Larva,2015,0.2919554041128647
2,SCBI,AMBAME,Adult,2015,0.0073405327807081165
2,SCBI,DERVAR,Adult,2015,0.00865369037842185
2,SCBI,IXOSCA,Adult,2015,0.009437539865243337
2,SCBI,AMBAME,Nymph,2015,0.05700297947048573
2,SCBI,IXOSCA,Nymph,2015,0.02591700848503615
2,SERC,AMBAME,Adult,2015,0.006747358352842585
2,SERC,DERVAR,Adult,2015,0.006211180124223602
2,SERC,IXOSCA,Adult,2015,0.010449449252557043
2,SERC,IXOSP,Larva,2015,0.006060606060606061
2,SERC,IXOSP,Larva,2015,0.7521880177435732
2,SERC,AMBAME,Adult,2015,0.01146153299055697
2,SERC,DERVAR,Adult,2015,0.006211180124223602
2,SERC,IXOSCA,Adult,2015,0.005917159763313609
2,SERC,AMBAME,Nymph,2015,0.04744423350148938
2,SERC,IXOSCA,Nymph,2015,0.06404529245402306
5,STEI,IXOSCA,Adult,2015,0.00625
5,STEI,IXOSP,Larva,2015,0.0061190119760479045
5,STEI,IXOSCA,Adult,2015,0.006137048192771085
5,STEI,IXOSCA,Nymph,2015,0.008551298025067877
8,TALL,AMBAME,Adult,2015,0.008485332046641252
8,TALL,DERVAR,Adult,2015,0.007327166410581694
8,TALL,IXOSCA,Adult,2015,0.00625
8,TALL,IXOSP,Larva,2015,0.9363009397870925
8,TALL,AMBAME,Adult,2015,0.007620670651757137
8,TALL,DERVAR,Adult,2015,0.00625
8,TALL,IXOSCA,Adult,2015,0.0125
8,TALL,AMBAME,Nymph,2015,0.041083748212695996
8,TALL,IXOSCA,Nymph,2015,0.006060606060606061
5,TREE,DERVAR,Adult,2015,0.011067376171129505
5,TREE,IXOSCA,Adult,2015,0.009250262204820413
5,TREE,IXOSP,Larva,2015,0.04154129466855239
5,TREE,DERVAR,Adult,2015,0.012247041623796404
5,TREE,IXOSCA,Adult,2015,0.012355619199805427
5,TREE,IXOSCA,Nymph,2015,0.018631232923413146
6,UKFS,AMBAME,Adult,2015,0.017400103980986334
6,UKFS,DERVAR,Adult,2015,0.0125
6,UKFS,AMBAME,Larva,2015,0.006117901706137001
6,UKFS,AMBAME,Adult,2015,0.018627450980392157
6,UKFS,DERVAR,Adult,2015,0.00625
6,UKFS,AMBAME,Nymph,2015,0.12831225147401618
5,UNDE,DERVAR,Adult,2015,0.008273250932285037
5,UNDE,DERVAR,Adult,2015,0.006622516556291391
9,WOOD,DERVAR,Adult,2015,0.017569824846148645
9,WOOD,DERVAR,Adult,2015,0.014348933426078892
16,ABBY,IXOPAC,Adult,2016,0.008900373241458513
2,BLAN,DERVAR,Adult,2016,0.006369426751592357
2,BLAN,IXOSCA,Adult,2016,0.005917159763313609
2,BLAN,IXOSP,Larva,2016,0.5427783591358026
2,BLAN,DERVAR,Adult,2016,0.005988023952095809
2,BLAN,IXOSCA,Adult,2016,0.005988023952095809
2,BLAN,AMBAME,Nymph,2016,0.013215017963329382
2,BLAN,IXOSCA,Nymph,2016,0.03868268537549054
11,CLBJ,DERVAR,Adult,2016,0.006172839506172839
8,DELA,AMBAME,Adult,2016,0.0125
8,DELA,IXOSP,Larva,2016,0.00625
8,DELA,AMBAME,Adult,2016,0.015384615384615385
8,DELA,AMBAME,Nymph,2016,0.009694412955798155
3,DSNY,AMBMAC,Adult,2016,0.006896551724137931
3,DSNY,AMBMAC,Adult,2016,0.013793103448275862
3,DSNY,DERVAR,Adult,2016,0.006896551724137931
7,GRSM,DERVAR,Adult,2016,0.00625
7,GRSM,DERVAR,Adult,2016,0.006060606060606061
1,HARV,DERVAR,Adult,2016,0.009375000000000001
1,HARV,IXOSCA,Adult,2016,0.006324503311258278
1,HARV,IXOSP,Larva,2016,0.28458333333333335
1,HARV,DERVAR,Adult,2016,0.00625
1,HARV,IXOSCA,Adult,2016,0.0078125
1,HARV,DERVAR,Nymph,2016,0.00625
1,HARV,IXOSCA,Nymph,2016,0.02017348114022459
3,JERC,IXOSCA,Adult,2016,0.00625
6,KONZ,AMBAME,Adult,2016,0.00625
6,KONZ,AMBMAC,Adult,2016,0.00625
6,KONZ,DERVAR,Adult,2016,0.009375
6,KONZ,IXOSP,Larva,2016,0.011458333333333334
6,KONZ,AMBAME,Adult,2016,0.01125
6,KONZ,AMBMAC,Adult,2016,0.00625
6,KONZ,DERVAR,Adult,2016,0.0078125
6,KONZ,AMBAME,Nymph,2016,0.05347222222222223
8,LENO,AMBAME,Adult,2016,0.008333333333333333
8,LENO,IXOSCA,Adult,2016,0.00615530303030303
8,LENO,IXOSP,Larva,2016,0.9669642857142857
8,LENO,AMBAME,Nymph,2016,0.018849206349206348
8,LENO,IXOSCA,Nymph,2016,0.010937500000000001
9,NOGP,DERVAR,Adult,2016,0.00625
9,NOGP,DERVAR,Adult,2016,0.0125
11,OAES,DERVAR,Adult,2016,0.006104605362823814
11,OAES,AMBMAC,Adult,2016,0.00625
11,OAES,DERVAR,Adult,2016,0.006349206349206349
7,ORNL,AMBAME,Adult,2016,0.009160560612572534
7,ORNL,DERVAR,Adult,2016,0.006097560975609756
7,ORNL,IXOSCA,Adult,2016,0.00615981240981241
7,ORNL,IXOSP,Larva,2016,0.9078067482667543
7,ORNL,AMBAME,Adult,2016,0.009365052030485004
7,ORNL,DERVAR,Adult,2016,0.006230590062111801
7,ORNL,IXOSCA,Adult,2016,0.00613905325443787
7,ORNL,AMBAME,Nymph,2016,0.040054373655566806
7,ORNL,IXOSCA,Nymph,2016,0.013998025129216562
3,OSBS,AMBAME,Adult,2016,0.02358282065366782
3,OSBS,DERVAR,Adult,2016,0.006134969325153374
3,OSBS,IXOSCA,Adult,2016,0.006060606060606061
3,OSBS,IXOSP,Adult,2016,0.007745632575190783
3,OSBS,IXOSP,Larva,2016,0.27192727852324633
3,OSBS,AMBAME,Adult,2016,0.025002436562099394
3,OSBS,IXOSCA,Adult,2016,0.006066176470588235
3,OSBS,IXOSP,Adult,2016,0.007737581511315689
3,OSBS,AMBAME,Nymph,2016,0.13532669074537287
3,OSBS,IXOSP,Nymph,2016,0.01047275095346547
2,SCBI,AMBAME,Adult,2016,0.006350806451612904
2,SCBI,DERVAR,Adult,2016,0.011572332008988242
2,SCBI,IXOSCA,Adult,2016,0.007002550060222825
2,SCBI,IXOSP,Larva,2016,0.8902102053870569
2,SCBI,AMBAME,Adult,2016,0.006622516556291391
2,SCBI,DERVAR,Adult,2016,0.010307519267357915
2,SCBI,IXOSCA,Adult,2016,0.00736914082103784
2,SCBI,AMBAME,Nymph,2016,0.012227929108826639
2,SCBI,IXOSCA,Nymph,2016,0.05555775486148315
2,SERC,AMBAME,Adult,2016,0.007991974206955904
2,SERC,DERVAR,Adult,2016,0.006211180124223602
2,SERC,IXOSCA,Adult,2016,0.008359538784067087
2,SERC,IXOSP,Larva,2016,0.6753694335733129
2,SERC,AMBAME,Adult,2016,0.012644317233472086
2,SERC,DERVAR,Adult,2016,0.006172839506172839
2,SERC,IXOSCA,Adult,2016,0.006382640067911715
2,SERC,AMBAME,Nymph,2016,0.061426131572040805
2,SERC,IXOSCA,Nymph,2016,0.04770643073145571
5,STEI,DERVAR,Adult,2016,0.008846375143843498
5,STEI,IXOSCA,Adult,2016,0.006172839506172839
5,STEI,IXOSP,Larva,2016,0.006711409395973154
5,STEI,DERVAR,Adult,2016,0.005681818181818182
5,STEI,IXOSCA,Adult,2016,0.006578947368421052
5,STEI,IXOSCA,Nymph,2016,0.009242215063660072
8,TALL,AMBAME,Adult,2016,0.00905091859360152
8,TALL,IXOSP,Larva,2016,1.0658911921411922
8,TALL,AMBAME,Adult,2016,0.007790353128054741
8,TALL,IXOSCA,Adult,2016,0.00625
8,TALL,AMBAME,Nymph,2016,0.04830140259379626
8,TALL,IXOSCA,Nymph,2016,0.006211656441717792
5,TREE,DERVAR,Adult,2016,0.009929784069095844
5,TREE,IXOSCA,Adult,2016,0.006642589879484011
5,TREE,IXOSP,Larva,2016,0.2519168348222451
5,TREE,DERVAR,Adult,2016,0.012845290744877282
5,TREE,IXOSCA,Adult,2016,0.008896215196069817
5,TREE,IXOSCA,Nymph,2016,0.04927528648091421
6,UKFS,AMBAME,Adult,2016,0.020586917562724013
6,UKFS,DERVAR,Adult,2016,0.006388888888888889
6,UKFS,IXOSP,Adult,2016,0.009861532403896634
6,UKFS,IXOSP,Larva,2016,0.0067854102049504355
6,UKFS,AMBAME,Adult,2016,0.02692972350230415
6,UKFS,IXOSP,Adult,2016,0.01649388552103946
6,UKFS,AMBAME,Nymph,2016,0.10092621100164204
6,UKFS,IXOSP,Nymph,2016,0.03226168601372766
5,UNDE,DERVAR,Adult,2016,0.006211180124223602
5,UNDE,IXOSP,Larva,2016,0.03958333333333333
5,UNDE,DERVAR,Adult,2016,0.006578947368421052
5,UNDE,IXOSCA,Nymph,2016,0.006220642061918561
9,WOOD,DERVAR,Adult,2016,0.009705765411410572
9,WOOD,DERVAR,Adult,2016,0.010631525589384055
16,ABBY,IXOPAC,Adult,2017,0.00641025641025641
16,ABBY,IXOPAC,Adult,2017,0.0080252682730399191
16,ABBY,IXOPAC,Nymph,2017,0.006289308176100629
2,BLAN,AMBAME,Adult,2017,0.00625
2,BLAN,DERVAR,Adult,2017,0.006369426751592357
2,BLAN,IXOSP,Larva,2017,0.5694490052419009
2,BLAN,DERVAR,Adult,2017,0.0064190816856936625
2,BLAN,IXOSCA,Adult,2017,0.00648396844049018
2,BLAN,AMBAME,Nymph,2017,0.012271341463414635
2,BLAN,IXOSCA,Nymph,2017,0.045983509495716154
11,CLBJ,AMBMAC,Adult,2017,0.00625
11,CLBJ,DERVAR,Adult,2017,0.009421711329606067
11,CLBJ,AMBMAC,Adult,2017,0.006031976744186047
11,CLBJ,DERVAR,Adult,2017,0.017756410256410258
9,DCFS,DERVAR,Adult,2017,0.01248070987654321
9,DCFS,DERVAR,Adult,2017,0.007007226103915777
8,DELA,AMBAME,Adult,2017,0.006290322580645161
8,DELA,AMBAME,Nymph,2017,0.01595622119815668
8,DELA,IXOSCA,Nymph,2017,0.009523809523809525
3,DSNY,DERVAR,Adult,2017,0.006134969325153374
3,DSNY,AMBMAC,Adult,2017,0.006192484662576688
3,DSNY,DERVAR,Adult,2017,0.00625
7,GRSM,DERVAR,Adult,2017,0.00615530303030303
7,GRSM,IXOSP,Larva,2017,0.00625
7,GRSM,DERVAR,Adult,2017,0.00621141975308642
1,HARV,DERVAR,Adult,2017,0.007899599730801066
1,HARV,IXOSCA,Adult,2017,0.007869318181818182
1,HARV,IXOSP,Larva,2017,0.1973109466716623
1,HARV,DERVAR,Adult,2017,0.009232105796630792
1,HARV,IXOSCA,Adult,2017,0.006395637408568443
1,HARV,IXOSCA,Nymph,2017,0.02430395471097855
6,KONA,DERVAR,Adult,2017,0.00625
6,KONA,AMBAME,Nymph,2017,0.025
6,KONZ,AMBAME,Adult,2017,0.013541666666666667
6,KONZ,AMBMAC,Adult,2017,0.0078125
6,KONZ,DERVAR,Adult,2017,0.007291666666666667
6,KONZ,IXOSP,Larva,2017,0.7703125
6,KONZ,AMBAME,Adult,2017,0.0109375
6,KONZ,AMBMAC,Adult,2017,0.00625
6,KONZ,DERVAR,Adult,2017,0.00625
6,KONZ,AMBAME,Nymph,2017,0.024342105263157894
8,LENO,AMBAME,Adult,2017,0.006325757575757576
8,LENO,IXOSP,Larva,2017,0.5797398891357842
8,LENO,AMBAME,Adult,2017,0.008125
8,LENO,DERVAR,Adult,2017,0.007042253521126761
8,LENO,AMBAME,Nymph,2017,0.011322356770184434
8,LENO,IXOSCA,Nymph,2017,0.008551840056617127
8,LENO,IXOSP,Nymph,2017,0.010526315789473684
9,NOGP,DERVAR,Adult,2017,0.00875
9,NOGP,DERVAR,Adult,2017,0.01032934131736527
11,OAES,AMBMAC,Adult,2017,0.0071969696969696965
11,OAES,DERVAR,Adult,2017,0.009707613844731776
11,OAES,AMBMAC,Adult,2017,0.006060606060606061
11,OAES,DERVAR,Adult,2017,0.01276622664323199
7,ORNL,AMBAME,Adult,2017,0.008517244102262223
7,ORNL,DERVAR,Adult,2017,0.006134969325153374
7,ORNL,IXOSP,Larva,2017,1.3162543837037028
7,ORNL,AMBAME,Adult,2017,0.007526702662117491
7,ORNL,IXOSCA,Adult,2017,0.006101190476190476
7,ORNL,AMBAME,Nymph,2017,0.06867781343837494
7,ORNL,IXOSCA,Nymph,2017,0.0093146717059033
7,ORNL,IXOSP,Nymph,2017,0.006172839506172839
3,OSBS,AMBAME,Adult,2017,0.030841236173130566
3,OSBS,AMBMAC,Adult,2017,0.0058823529411764705
3,OSBS,DERVAR,Adult,2017,0.0107471870604782
3,OSBS,IXOSP,Larva,2017,0.7565190328770844
3,OSBS,AMBAME,Adult,2017,0.0327051602018064
3,OSBS,AMBMAC,Adult,2017,0.00595322466335932
3,OSBS,IXOSCA,Adult,2017,0.006134969325153374
3,OSBS,AMBAME,Nymph,2017,0.17413056852753422
3,OSBS,IXOSP,Nymph,2017,0.2935783506764278
2,SCBI,AMBAME,Adult,2017,0.006599996342372074
2,SCBI,DERVAR,Adult,2017,0.00901811050814742
2,SCBI,IXOSCA,Adult,2017,0.014925373134328358
2,SCBI,IXOSP,Larva,2017,0.47974402200549277
2,SCBI,AMBAME,Adult,2017,0.008167573411190687
2,SCBI,DERVAR,Adult,2017,0.01056112175530839
2,SCBI,AMBAME,Nymph,2017,0.030162111460693045
2,SCBI,IXOSCA,Nymph,2017,0.021544262717340546
2,SERC,AMBAME,Adult,2017,0.017961109858648502
2,SERC,DERVAR,Adult,2017,0.00861132331720567
2,SERC,IXOSP,Larva,2017,0.6163934982202592
2,SERC,AMBAME,Adult,2017,0.00930561801726163
2,SERC,DERVAR,Adult,2017,0.008246007984031937
2,SERC,IXOSCA,Adult,2017,0.006289308176100629
2,SERC,AMBAME,Nymph,2017,0.05876092706249233
2,SERC,IXOSCA,Nymph,2017,0.02491642281084421
5,STEI,DERVAR,Adult,2017,0.008231079995985146
5,STEI,IXOSCA,Adult,2017,0.00625
5,STEI,IXOSP,Larva,2017,0.03266423357664233
5,STEI,DERVAR,Adult,2017,0.012195121951219513
5,STEI,IXOSCA,Nymph,2017,0.007615623316767574
8,TALL,AMBAME,Adult,2017,0.013477047146401985
8,TALL,DERVAR,Adult,2017,0.00625
8,TALL,IXOSP,Larva,2017,0.8774038461538461
8,TALL,AMBAME,Adult,2017,0.01293010752688172
8,TALL,DERVAR,Adult,2017,0.00625
8,TALL,AMBAME,Nymph,2017,0.08832373271889402
8,TALL,IXOSP,Nymph,2017,0.0375
5,TREE,DERVAR,Adult,2017,0.00908383731621413
5,TREE,IXOSCA,Adult,2017,0.00655684063237718
5,TREE,IXOSP,Larva,2017,0.31538852770872505
5,TREE,DERVAR,Adult,2017,0.008157475995556421
5,TREE,IXOSCA,Adult,2017,0.006183876944078787
5,TREE,IXOSCA,Nymph,2017,0.044287794301924525
6,UKFS,AMBAME,Adult,2017,0.02361111111111111
6,UKFS,AMBMAC,Adult,2017,0.0125
6,UKFS,DERVAR,Adult,2017,0.00875
6,UKFS,IXOSP,Larva,2017,2.2053125000000002
6,UKFS,AMBAME,Adult,2017,0.02977941176470588
6,UKFS,AMBMAC,Adult,2017,0.00625
6,UKFS,DERVAR,Adult,2017,0.00625
6,UKFS,IXOSCA,Adult,2017,0.00625
6,UKFS,AMBAME,Nymph,2017,0.1308764367816092
6,UKFS,IXOSP,Nymph,2017,0.14375
5,UNDE,DERVAR,Adult,2017,0.007352941176470588
5,UNDE,DERVAR,Adult,2017,0.006329113924050633
9,WOOD,DERVAR,Adult,2017,0.02778386002288239
